epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.282,1.4177,2.34952,1.59504,0.39925,0.13674,0.16672,0.05464,1.76043,3.31159,2.058,0.000540649,0.000540649,0.000540649
2,345.975,1.41255,1.88221,1.56283,0.33293,0.23077,0.21782,0.07059,2.03957,3.09425,2.30731,0.00108546,0.00108546,0.00108546
3,515.289,1.50968,1.82812,1.6334,0.19123,0.29111,0.10868,0.03277,2.32294,3.24489,2.92026,0.00161927,0.00161927,0.00161927
4,688.745,1.48566,1.77864,1.63157,0.21368,0.25641,0.1409,0.03703,2.19997,4.04525,2.76192,0.00161749,0.00161749,0.00161749
5,864.493,1.52737,1.75989,1.68272,0.36922,0.20513,0.20416,0.07377,2.01242,2.99952,2.38754,0.00160099,0.00160099,0.00160099
6,1034.21,1.4916,1.69499,1.67614,0.26085,0.20513,0.14874,0.06443,2.13201,2.76902,2.51706,0.00158448,0.00158448,0.00158448
7,1208.02,1.43429,1.58389,1.59714,0.58145,0.2851,0.3204,0.16712,1.71881,2.64199,2.05725,0.00156798,0.00156798,0.00156798
8,1372.91,1.45089,1.57856,1.60806,0.20243,0.38462,0.17795,0.06942,2.01692,2.43605,2.26357,0.00155148,0.00155148,0.00155148
9,1538.28,1.40435,1.52735,1.57586,0.17625,0.23077,0.14828,0.04763,2.26878,2.70008,2.54089,0.00153497,0.00153497,0.00153497
10,1705.4,1.42623,1.49213,1.55973,0.4112,0.30769,0.28491,0.10315,2.21644,2.66041,2.49785,0.00151847,0.00151847,0.00151847
11,170.683,1.43315,1.53603,1.62158,0.43727,0.20513,0.23201,0.08585,1.93255,2.74422,2.20624,0.00150197,0.00150197,0.00150197
12,335.116,1.40321,1.47605,1.55606,0.1551,0.29192,0.11365,0.04189,2.21656,2.86821,2.47652,0.00148546,0.00148546,0.00148546
13,498.2,1.35515,1.39176,1.51789,0.23338,0.25641,0.18898,0.09268,2.24371,2.57953,2.36541,0.00146896,0.00146896,0.00146896
14,664.133,1.3262,1.34056,1.49719,0.38911,0.46154,0.40088,0.13933,1.96067,2.27931,2.23269,0.00145246,0.00145246,0.00145246
15,829.4,1.35024,1.33747,1.51895,0.49832,0.38462,0.36266,0.1303,2.13872,2.3948,2.34884,0.00143595,0.00143595,0.00143595
16,993.615,1.3057,1.30601,1.51169,0.37663,0.20513,0.14709,0.06015,2.16159,2.8582,2.51206,0.00141945,0.00141945,0.00141945
17,1154.72,1.29801,1.26897,1.48595,0.30669,0.35173,0.32186,0.15975,1.8927,2.29749,2.13145,0.00140295,0.00140295,0.00140295
18,1315.42,1.2519,1.25453,1.44996,0.44066,0.35897,0.38351,0.19133,1.84036,2.20379,2.09103,0.00138644,0.00138644,0.00138644
19,1488.89,1.25319,1.23084,1.44612,0.71647,0.38894,0.46995,0.2213,1.84385,2.02323,2.07146,0.00136994,0.00136994,0.00136994
20,1660.43,1.25705,1.21365,1.43529,0.58687,0.32802,0.37033,0.13742,1.95402,2.12277,2.23831,0.00135344,0.00135344,0.00135344
21,1830.96,1.31194,1.29332,1.50672,0.35853,0.33333,0.29927,0.11819,1.97131,2.36467,2.21415,0.00133693,0.00133693,0.00133693
22,2008.84,1.31598,1.27292,1.50163,0.44284,0.35897,0.32869,0.13216,2.01924,2.12724,2.32029,0.00132043,0.00132043,0.00132043
23,2180.85,1.29469,1.24215,1.5005,0.71748,0.41026,0.43673,0.22467,1.90592,1.82443,2.12447,0.00130393,0.00130393,0.00130393
24,2354.55,1.29198,1.24136,1.46643,0.35006,0.23077,0.2057,0.11317,2.16498,2.55991,2.45964,0.00128742,0.00128742,0.00128742
25,2523.21,1.25266,1.18905,1.44911,0.64748,0.35897,0.42198,0.17656,2.08996,1.95288,2.45432,0.00127092,0.00127092,0.00127092
26,2704.65,1.25582,1.20042,1.45164,0.46103,0.33333,0.28512,0.11963,2.03627,2.36543,2.20589,0.00125442,0.00125442,0.00125442
27,2882,1.23523,1.19711,1.42617,0.90187,0.33333,0.49544,0.22459,1.9094,1.73672,2.14114,0.00123791,0.00123791,0.00123791
28,3057.27,1.25724,1.17769,1.45488,0.43493,0.38462,0.35597,0.15168,2.18246,2.10502,2.35709,0.00122141,0.00122141,0.00122141
